Track,Artist,Duration,Time_Signature,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity,Year
Night,Jackie Wilson,1:26,4,0.482,0.757,6,-4.586,1,0.0355,0.0137,0.0016,0.143,0.12,142.579,88,1960
Why,Frankie Avalon,2:41,4,0.691,0.631,2,-6.478,1,0.0368,0.0483,0.0000113,0.104,0.8,92.004,85,1960
I’m Sorry,Brenda Lee,2:47,5,0.445,0.455,7,-6.405,1,0.0575,0.731,0.00000147,0.124,0.151,109.885,81,1960
Wild One,Bobby Rydell,2:21,4,0.662,0.55,0,-5.816,1,0.0366,0.00354,0.00000895,0.406,0.308,136.184,80,1960
Love You So,Ron Holden,3:08,4,0.858,0.678,1,-3.87,0,0.0469,0.0761,0,0.0741,0.922,117.009,79,1960
Stairway To Heaven,Neil Sedaka,8:02,4,0.338,0.34,9,-12.049,0,0.0339,0.58,0.0032,0.116,0.197,82.433,78,1960
Wonderful World,Sam Cooke,2:19,4,0.271,0.165,5,-20.652,1,0.0351,0.726,0.00000154,0.118,0.202,77.082,78,1960
Sweet Nothin’s,Brenda Lee,3:32,4,0.573,0.929,8,-3.942,0,0.109,0.197,0.000112,0.0567,0.582,127.934,77,1960
Forever,The Little Dippers,3:52,4,0.487,0.65,0,-5.195,1,0.0253,0.191,0,0.0933,0.456,151.964,77,1960
A Million To One,Jimmy Charles,2:40,4,0.454,0.931,11,-4.083,1,0.0321,0.238,0.000623,0.289,0.462,137.945,75,1960
Over The Rainbow,the Demensions,3:31,4,0.671,0.153,0,-13.569,1,0.0404,0.912,0.0000553,0.0771,0.658,85.6,73,1960
Mama,Connie Francis,3:27,3,0.393,0.491,1,-5.571,1,0.0267,0.0899,0,0.106,0.37,139.604,69,1960
Beyond The Sea,Bobby Darin,2:52,4,0.521,0.516,2,-7.456,0,0.0369,0.723,0,0.257,0.569,136.483,68,1960
Stuck On You,Elvis Presley,3:25,3,0.599,0.463,7,-7.449,1,0.0472,0.162,0.0000664,0.141,0.141,158.053,68,1960
Volare,Bobby Rydell,3:01,4,0.612,0.144,6,-12.204,0,0.0352,0.88,0,0.203,0.343,128.629,67,1960
Dreamin’,Johnny Burnette,5:14,4,0.553,0.458,8,-10.796,1,0.0381,0.325,0.0000971,0.0583,0.247,165.807,67,1960
Where Or When,Dion and the Belmonts,3:23,4,0.277,0.285,0,-10.786,1,0.0348,0.97,0.0731,0.1,0.171,87.281,66,1960
Only The Lonely,Roy Orbison,2:25,4,0.57,0.529,5,-10.769,1,0.028,0.377,0.00509,0.203,0.934,123.273,64,1960
El Paso,Marty Robbins,4:19,3,0.654,0.452,2,-9.709,1,0.03,0.835,0.0000289,0.16,0.691,106.662,63,1960
Cherry Pie,Skip and Flip,3:21,4,0.407,0.955,2,-4.164,1,0.164,0.0251,0,0.347,0.508,177.48,63,1960
Save The Last Dance For Me,The Drifters,2:34,4,0.54,0.53,4,-10.583,1,0.0361,0.614,0,0.198,0.896,143.453,63,1960
So Sad,The Everly Brothers,3:46,4,0.512,0.526,1,-5.44,1,0.0251,0.0724,0,0.0675,0.249,85.024,62,1960
The Twist,Chubby Checker,2:48,4,0.436,0.848,5,-4.733,1,0.0366,0.00895,0.0000113,0.099,0.324,146.208,61,1960
Theme From “A Summer Place”,Percy Faith,2:22,3,0.326,0.326,0,-15.144,1,0.0297,0.591,0.918,0.494,0.87,186.232,61,1960
Look For A Star,Garry Miles,2:17,4,0.915,0.692,9,-7.544,1,0.0857,0.15,0.00012,0.0964,0.713,118.981,60,1960
Footsteps,Steve Lawrence,5:06,4,0.679,0.374,11,-10.565,0,0.0482,0.402,0.0000249,0.0541,0.871,80.86,60,1960
Mack The Knife,Bobby Darin,3:04,4,0.549,0.529,3,-12.291,0,0.108,0.76,0,0.206,0.464,82.755,59,1960
Sandy,Larry Hall,2:40,3,0.446,0.341,2,-16.397,1,0.0547,0.952,0.933,0.144,0.202,169.591,59,1960
I Love The Way You Love,Marv Johnson,2:43,3,0.477,0.267,0,-8.625,1,0.0301,0.81,0,0.336,0.667,152.039,59,1960
When Will I Be Loved,The Everly Brothers,2:04,4,0.513,0.573,9,-10.023,1,0.0337,0.186,0.000958,0.0878,0.621,132.607,59,1960
